# Scalar ASCII output created by CarpetIOScalar
# created on kop28.datura.admin by hoppese on Aug 01 2013 at 18:36:36+0200
# parameter filename: "/lustre/datura/hoppese/simulations/bbhCart2-AEI_Gauss/output-0000/bbhCart2-AEI_Gauss.par"
# Build ID: build-sim-datura-hoppese-2013.08.01-16.22.29-21953
# Simulation ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
# Run ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
0 0 2390 3 -1647 0 0 256 -1661 13 2 12
256 0.36 2644 3 -1640 0 0 256 -1660 30 19 12
512 0.72 3319 3 -855 0 0 258 -1645 821 0 12
768 1.08 3401 3 -855 0 0 253 -1602 830 3 12
1024 1.44 3588 3 -654 0 0 253 -1548 1031 10 12
1280 1.8 3607 3 -654 0 0 212 -1540 981 10 12
1536 2.16 3615 3 -654 0 0 212 -1540 981 10 12
1792 2.52 3831 3 -301 0 0 75 -1415 1162 16 12
2048 2.88 3867 3 -282 0 0 76 -1427 1181 19 12
2304 3.24 3904 3 -279 0 0 76 -1358 1170 3 12
2560 3.6 3906 3 -279 0 0 76 -1341 1153 3 12
2816 3.96 3921 3 -263 0 0 76 -1400 1174 15 12
3072 4.32 3920 3 -185 0 0 22 -1337 1189 0 12
3328 4.68 3945 3 -146 0 0 22 -1337 1227 0 12
3584 5.04 4080 3 -43 0 0 63 -1307 1342 0 12
3840 5.4 4105 3 -43 0 0 76 -1307 1355 0 12
4096 5.76 4558 3 402 0 0 115 -1064 1533 2 12
4352 6.12 5018 3 863 0 0 113 -1098 1961 2 12
4608 6.48 5043 3 863 0 0 114 -1082 1945 3 12
4864 6.84 5086 3 946 0 0 75 -1042 1989 2 12
5120 7.2 5249 3 1054 0 0 114 -1071 1515 2 12
5376 7.56 5261 3 1054 0 0 113 -1090 1512 3 12
5632 7.92 5289 3 1130 0 0 63 -1005 1494 2 12
5888 8.28 5356 3 1130 0 0 113 -1064 1491 3 12
6144 8.64 5320 3 1130 0 0 74 -1045 1495 3 12
6400 9 5273 3 1130 0 0 22 -991 1488 3 12
6656 9.36 5413 3 1240 0 0 74 -1037 1477 2 12
6912 9.72 5452 3 1240 0 0 112 -1073 1474 3 12
7168 10.08 5385 3 1240 0 0 22 -995 1471 3 12
7424 10.44 5482 3 1248 0 0 111 -1093 1464 2 12
7680 10.8 5394 3 1248 0 0 22 -969 1445 3 12
7936 11.16 5444 3 1310 0 0 22 -1014 1456 2 12
8192 11.52 5538 3 1310 0 0 111 -1084 1448 3 12
8448 11.88 5540 3 1310 0 0 111 -1078 1443 3 12
8704 12.24 5456 3 1310 0 0 22 -998 1434 3 12
8960 12.6 5456 3 1310 0 0 22 -998 1429 3 12
9216 12.96 5997 3 1823 0 0 125 1991 1814 2 12
9472 13.32 6176 3 2025 0 0 157 1985 1820 2 12
9728 13.68 6468 3 -289 0 0 171 1993 1813 2 12
9984 14.04 6582 3 -289 0 0 113 2015 1790 5 12
10240 14.4 6643 3 -289 0 0 172 2017 1789 5 12
10496 14.76 6664 3 -289 0 0 71 2028 1777 2 12
10752 15.12 6767 3 -289 0 0 155 2017 1789 4 12
11008 15.48 6683 3 -289 0 0 70 2023 1783 4 12
11264 15.84 6634 3 -289 0 0 22 2037 1768 4 12
11520 16.2 6634 3 -289 0 0 22 2039 1766 4 12
11776 16.56 6634 3 -289 0 0 22 -614 1755 4 12
12032 16.92 6634 3 -289 0 0 22 2045 1761 4 12
12288 17.28 6634 3 -289 0 0 22 -671 1755 4 12
12544 17.64 6634 3 -289 0 0 22 -660 1719 4 12
12800 18 6634 3 -289 0 0 22 -680 1710 4 12
13056 18.36 6634 3 -289 0 0 22 -724 1705 4 12
13312 18.72 6634 3 -289 0 0 22 -717 1688 4 12
13568 19.08 6635 3 -289 0 0 22 -747 1674 4 12
13824 19.44 6635 3 -289 0 0 22 -748 1661 4 12
14080 19.8 6635 3 -289 0 0 22 -770 1636 4 12
14336 20.16 6635 3 -289 0 0 22 -789 1629 4 12
14592 20.52 6635 3 -289 0 0 22 -802 1609 4 12
14848 20.88 6635 3 -289 0 0 22 -829 1597 4 12
15104 21.24 6635 3 -289 0 0 22 -848 1588 4 12
15360 21.6 6635 3 -289 0 0 22 -867 1581 4 12
15616 21.96 6635 3 -289 0 0 22 -890 1561 4 12
15872 22.32 6635 3 -289 0 0 22 -935 1557 4 12
16128 22.68 6635 3 -289 0 0 22 -945 1540 4 12
16384 23.04 6636 3 -289 0 0 22 -548 1729 4 12
