# Scalar ASCII output created by CarpetIOScalar
# created on kop132.datura.admin by hoppese on Aug 01 2013 at 16:16:44+0200
# parameter filename: "/lustre/datura/hoppese/simulations/bbhCart2-3/output-0000/bbhCart2-3.par"
# Build ID: build-sim-datura-hoppese-2013.08.01-13.59.25-24508
# Simulation ID: run-bbhCart2-3-kop132.datura.admin-hoppese-2013.08.01-14.13.01-7180
# Run ID: run-bbhCart2-3-kop132.datura.admin-hoppese-2013.08.01-14.13.01-7180
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
0 0 2380 2 -1646 0 0 256 -1659 13 2 13
256 0.36 2671 2 -1639 0 0 256 -1659 19 10 13
512 0.72 3354 2 -852 0 0 258 -1642 822 0 13
768 1.08 3475 2 -852 0 0 253 -1599 831 3 13
1024 1.44 3681 2 -672 0 0 253 -1545 1011 3 13
1280 1.8 3729 2 -672 0 0 212 -1535 960 3 13
1536 2.16 3800 2 -653 0 0 212 -1535 978 3 13
1792 2.52 4084 2 -346 0 0 129 -1410 1166 16 13
2048 2.88 4163 2 -327 0 0 129 -1420 1184 19 13
2304 3.24 4263 2 -310 0 0 130 -1351 1187 3 13
2560 3.6 4252 2 -310 0 0 76 -1333 1115 3 13
2816 3.96 4273 2 -274 0 0 22 -1338 1102 15 13
3072 4.32 4374 2 -181 0 0 22 -1328 1185 0 13
3328 4.68 4415 2 -179 0 0 22 -1328 1186 0 13
3584 5.04 4619 2 -44 0 0 78 -1297 1347 0 13
3840 5.4 4664 2 -44 0 0 78 -1296 1346 0 13
4096 5.76 5176 2 412 0 0 115 -1053 1530 2 13
4352 6.12 5815 2 991 0 0 166 -1140 1532 2 13
4608 6.48 5856 2 991 0 0 114 -1070 1521 3 13
4864 6.84 5900 2 991 0 0 75 -1030 2021 3 13
5120 7.2 6183 2 1244 0 0 114 -1058 1511 2 13
5376 7.56 6237 2 1244 0 0 113 -1076 1507 3 13
5632 7.92 6228 2 1244 0 0 22 -949 1488 3 13
5888 8.28 6362 2 1244 0 0 113 -1050 1485 3 13
6144 8.64 6419 2 1308 0 0 74 -1029 1488 6 13
6400 9 6410 2 1308 0 0 22 -975 1481 6 13
6656 9.36 6595 2 1308 0 0 162 -1107 1469 6 13
6912 9.72 6545 2 1308 0 0 70 -1014 1466 6 13
7168 10.08 6675 2 1308 0 0 161 -1116 1462 6 13
7424 10.44 6626 2 1308 0 0 70 -1034 1454 6 13
7680 10.8 6711 2 1308 0 0 112 -1041 1435 6 13
7936 11.16 6817 2 1444 0 0 74 -1047 1446 2 13
8192 11.52 6813 2 1444 0 0 22 -974 1437 3 13
8448 11.88 6856 2 1444 0 0 22 -968 1431 3 13
8704 12.24 7089 2 1484 0 0 159 -1114 1422 3 13
8960 12.6 7041 2 1484 0 0 71 -1025 1417 3 13
9216 12.96 7419 2 1771 0 0 175 2012 1802 2 13
9472 13.32 7859 2 -281 0 0 259 2007 1807 2 13
9728 13.68 8118 2 -281 0 0 171 2015 1799 2 13
9984 14.04 8243 2 -281 0 0 171 2038 1776 4 13
10240 14.4 8204 2 -281 0 0 71 2040 1774 4 13
10496 14.76 8394 2 -281 0 0 171 -666 1762 4 13
10752 15.12 8542 2 -281 0 0 254 2042 1772 4 13
11008 15.48 8461 2 -281 0 0 112 -670 1766 4 13
11264 15.84 8485 2 -281 0 0 71 -633 1750 4 13
11520 16.2 8636 3 -281 0 0 168 -719 1748 4 20
11776 16.56 8606 4 -281 0 0 71 -631 1736 4 16
12032 16.92 8701 4 -281 0 0 104 -702 1741 4 18
12288 17.28 8682 4 -281 0 0 22 -637 1734 4 18
12544 17.64 8750 5 -281 0 0 22 -625 1697 4 15
12800 18 8811 5 -281 0 0 22 -644 1688 4 15
13056 18.36 8876 5 -281 0 0 22 -686 1682 4 15
13312 18.72 9106 5 -281 0 0 192 -849 1664 4 16
13568 19.08 9088 5 -281 0 0 109 -796 1649 4 14
13824 19.44 9149 5 -281 0 0 109 -796 1636 4 14
14080 19.8 9210 5 -281 0 0 108 -816 1610 4 15
14336 20.16 9262 5 -281 0 0 106 -832 1602 4 15
14592 20.52 9226 5 -281 0 0 22 -759 1582 4 15
14848 20.88 9276 5 -281 0 0 22 -785 1569 4 15
15104 21.24 9412 5 -281 0 0 104 -886 1559 4 16
15360 21.6 9459 5 -281 0 0 102 -902 1552 4 17
15616 21.96 9509 5 -281 0 0 101 -924 1531 4 17
15872 22.32 9554 5 -281 0 0 95 -961 1526 4 18
16128 22.68 9531 5 -281 0 0 22 -897 1509 4 18
16384 23.04 9589 5 -281 0 0 22 -499 1698 4 19
16640 23.4 9723 5 -281 0 0 96 -617 1701 4 23
16896 23.76 9908 5 -281 0 0 216 -782 1711 4 25
17152 24.12 9967 5 -281 0 0 214 -807 1710 4 28
17408 24.48 10026 5 -281 0 0 211 -874 1708 4 33
17664 24.84 9970 5 -281 0 0 91 -799 1687 4 34
17920 25.2 10033 5 -281 0 0 91 -944 1404 4 44
18176 25.56 10093 5 -281 0 0 90 -987 1366 4 29
18432 25.92 10086 5 -281 0 0 22 -952 1342 4 29
18688 26.28 10151 5 -281 0 0 22 -1021 1329 4 29
18944 26.64 10213 5 -281 0 0 22 -1057 1310 4 30
19200 27 10275 5 -281 0 0 22 -1083 1281 4 30
19456 27.36 10339 5 -281 0 0 22 -1129 1246 4 30
19712 27.72 10400 5 -281 0 0 22 -1155 1218 4 30
19968 28.08 10463 5 -281 0 0 22 -1210 1189 4 30
20224 28.44 10528 5 -281 0 0 22 -1260 1185 4 30
20480 28.8 10590 5 -281 0 0 22 -1295 1138 4 30
20736 29.16 10653 5 -281 0 0 22 -1331 1118 4 30
20992 29.52 10715 5 -263 0 0 22 -1358 1108 4 30
21248 29.88 10766 5 -184 0 0 22 -1354 1210 4 49
21504 30.24 10827 5 -184 0 0 22 -1326 1236 4 49
21760 30.6 10890 5 -184 0 0 22 -1269 1262 4 49
22016 30.96 10955 5 -184 0 0 22 -1217 1265 4 49
22272 31.32 11017 5 -184 0 0 22 -1174 1305 4 49
22528 31.68 11081 5 -184 0 0 22 -1136 1322 4 47
22784 32.04 11144 5 -184 0 0 22 -1121 1360 4 47
23040 32.4 11208 5 -184 0 0 22 -1057 1379 4 47
23296 32.76 11271 5 -184 0 0 22 -1013 1391 4 47
23552 33.12 11381 6 -184 0 0 84 -1045 1441 4 62
23808 33.48 11385 6 -184 0 0 22 -930 1444 4 61
24064 33.84 11446 6 -184 0 0 22 -895 1466 4 61
24320 34.2 11510 6 -184 0 0 90 -935 1517 4 131
24576 34.56 11619 12 -184 0 0 164 -808 1784 4 172
24832 34.92 11397 37 -184 0 0 164 -787 1806 4 947
25088 35.28 11470 47 -184 0 0 167 -743 1801 4 850
25344 35.64 11470 48 -184 0 0 95 -649 1809 4 817
25600 36 11689 54 -184 0 0 170 -654 1795 4 685
25856 36.36 11677 54 -184 0 0 94 -558 1798 4 680
26112 36.72 11728 57 -184 0 0 22 -844 1580 3 628
26368 37.08 11813 59 -184 0 0 22 -839 1613 3 607
26624 37.44 11878 60 -184 0 0 22 -818 1618 3 599
26880 37.8 12025 60 -184 0 0 103 -859 1631 3 597
27136 38.16 12010 60 -184 0 0 22 -766 1649 3 595
27392 38.52 12237 60 -184 0 0 182 -898 1653 3 595
27648 38.88 12228 60 -184 0 0 105 -832 1681 3 593
27904 39.24 12207 60 -184 0 0 22 -709 1701 3 596
28160 39.6 12270 60 -184 0 0 22 -708 1715 3 595
28416 39.96 12333 60 -184 0 0 22 -697 1743 3 598
28672 40.32 12469 61 -184 0 0 101 -756 1747 3 607
28928 40.68 12538 61 -184 0 0 109 -768 1777 3 615
29184 41.04 12585 61 -184 0 0 110 -739 1794 3 639
29440 41.4 12540 61 -184 0 0 22 -647 1802 3 682
29696 41.76 12521 62 -184 0 0 22 -603 1809 3 847
29952 42.12 12572 62 -184 0 0 22 -582 1819 3 882
30208 42.48 12588 63 -184 0 0 69 -643 1858 3 1122
30464 42.84 12699 63 -184 0 0 152 -703 1861 3 1213
30720 43.2 12737 64 -184 0 0 164 2038 1872 3 1289
30976 43.56 12643 64 -184 0 0 22 2030 1881 3 1354
31232 43.92 12771 65 -184 0 0 105 2023 1888 3 1551
31488 44.28 12935 65 -184 0 0 159 2016 1894 2 1777
31744 44.64 12982 65 -184 0 0 118 2009 1901 4 1944
32000 45 13096 66 -184 0 0 291 1988 1923 4 2259
32256 45.36 13039 67 -184 0 0 195 1981 1930 4 2329
32512 45.72 13119 68 -184 0 0 209 1968 1942 4 2480
