# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 1 0.0012737916828058
1024 2 0.00126754207454308
1536 3 0.00126195765113242
2048 4 0.00125712574001826
2560 5 0.00125286285624277
3072 6 0.00124937304658207
3584 7 0.00124685039461438
4096 8 0.00124515084976024
4608 9 0.00124404825438553
5120 10 0.00124331366592627
5632 11 0.00124276830300151
6144 12 0.00124217525787359
6656 13 0.00124135002013334
7168 14 0.00124022695221851
7680 15 0.00123872560480566
8192 16 0.00123685900817343
8704 17 0.00123460182903257
9216 18 0.00123204856479353
9728 19 0.00122928973585386
10240 20 0.00122634266367442
10752 21 0.00122328893186094
11264 22 0.00122022729948229
11776 23 0.00121719759695484
12288 24 0.00121415856196359
12800 25 0.00121112857646081
13312 26 0.00120810902438618
13824 27 0.00120502695240176
14336 28 0.00120189081012666
14848 29 0.00119869112848908
15360 30 0.00119541175241089
15872 31 0.00119206516016218
16384 32 0.00118866109392475
16896 33 0.00118517594584398
17408 34 0.00118163676402419
17920 35 0.00117807934717752
18432 36 0.0011744763176981
18944 37 0.00117081612655428
19456 38 0.00116711538393875
19968 39 0.0011633974415428
20480 40 0.00115966131316954
20992 41 0.00115591506705934
21504 42 0.00115221152523981
22016 43 0.0011485746382269
22528 44 0.00114502851774651
23040 45 0.00114157821230121
23552 46 0.00113827081255136
24064 47 0.00113516410924736
24576 48 0.00113237847343298
25088 49 0.00112995444794703
25600 50 0.00112789803795062
26112 51 0.00112617043220272
26624 52 0.00112473799639073
27136 53 0.00112356748004152
27648 54 0.00112263193281829
28160 55 0.0011218642645925
28672 56 0.00112122347925513
29184 57 0.00112070104736978
29696 58 0.00112024109424478
30208 59 0.00111985721734438
30720 60 0.00111953111693947
31232 61 0.00111926166037059
31744 62 0.00111905805561492
32256 63 0.00111892044940366
32768 64 0.00111885938502401
33280 65 0.00111885634812727
33792 66 0.00111893686567353
34304 67 0.00111909369365
34816 68 0.00111930939757475
35328 69 0.00111959929670424
35840 70 0.001119948615559
36352 71 0.00112037436703684
36864 72 0.00112084434617893
37376 73 0.00112136969273274
37888 74 0.00112197225781122
38400 75 0.00112262768424754
38912 76 0.00112333238357526
39424 77 0.00112410590712302
39936 78 0.00112494876729192
40448 79 0.00112585268615707
40960 80 0.00112682171295285
41472 81 0.00112785557760873
41984 82 0.00112897736681471
42496 83 0.00113015748078793
43008 84 0.00113140160244955
43520 85 0.00113273188950163
44032 86 0.00113413200948963
44544 87 0.00113559523838357
45056 88 0.00113713173937792
45568 89 0.001138748171857
46080 90 0.00114042330347293
46592 91 0.00114216367069849
47104 92 0.00114397822420315
47616 93 0.00114583696874521
48128 94 0.00114775588170851
48640 95 0.0011497301612967
49152 96 0.00115174726973932
49664 97 0.00115379988153625
50176 98 0.00115589433164957
50688 99 0.00115802675187309
