# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cpu-clock'
# Event count (approx.): 1149199750000
#
# Overhead  Command     Shared Object                Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
#
    14.17%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_EvolutionInteriorSplitBy3_Body
    11.16%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_EvolutionInteriorSplitBy2_Body
    10.29%  cactus_sim  cactus_sim                   [.] CarpetLib::prolongate_3d_rf2<double, 5>
     6.58%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_EvolutionInteriorSplitBy1_Body
     4.64%  cactus_sim  cactus_sim                   [.] apply_dissipation_._omp_fn.2
     4.38%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_ADMBaseInterior_Body
     4.19%  cactus_sim  libm-2.31.so                 [.] __ieee754_pow_sse2
     3.40%  cactus_sim  cactus_sim                   [.] ML_ADMConstraints::ML_ADMConstraints_evaluate_Body
     2.65%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_ConstraintsInterior_Body
     2.35%  cactus_sim  cactus_sim                   [.] MoL_LinearCombination
     2.29%  cactus_sim  libm-2.31.so                 [.] __ieee754_atan2_sse2
     2.17%  cactus_sim  cactus_sim                   [.] CarpetSurfaceSetup._omp_fn.0
     1.95%  cactus_sim  cactus_sim                   [.] WeylScal4::WeylScal4_psi4_calc_4th_Body
     1.72%  cactus_sim  libc-2.31.so                 [.] __memset_sse2_unaligned_erms
     1.63%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_ADMBaseEverywhere_Body
     1.45%  cactus_sim  libm-2.31.so                 [.] __ieee754_acos_sse2
     1.33%  cactus_sim  libm-2.31.so                 [.] __mul
     1.28%  cactus_sim  libgomp.so.1.0.0             [.] 0x000000000000cc03
     1.24%  cactus_sim  libm-2.31.so                 [.] __ieee754_exp_sse2
     0.91%  cactus_sim  cactus_sim                   [.] NaNChecker::CHECK_DATA<double>
     0.78%  cactus_sim  libm-2.31.so                 [.] pow@@GLIBC_2.29
     0.77%  cactus_sim  cactus_sim                   [.] CCTK_isinf
     0.76%  cactus_sim  cactus_sim                   [.] umfdi_blas3_update
     0.61%  cactus_sim  cactus_sim                   [.] ML_BSSN::ML_BSSN_EnforceEverywhere_Body
....
     0.01%  cactus_sim  cactus_sim                   [.] CCTKi_VarDataPtrI
