-----------------------
Percent   t/secs  Timer
-----------------------
 100.0%    353.0  Evolve
  38.0%    134.3  |_CallAnalysis
  13.7%     48.2  | |_CCTK_POSTSTEP
  13.6%     48.2  | | |_CallFunction
  13.5%     47.7  | | | |_thorns
   7.9%     27.8  | | | | |_AHFinderDirect_find_horizons
   1.8%      6.5  | | | | |_CarpetSurfaceSetup
   2.8%      9.9  | | | | |_NaNChecker_NaNCheck
  24.3%     85.8  | |_OutputGH
   2.6%      9.2  | | |_IOASCII::IOASCII_1D [6]
   2.6%      9.2  | | | |_OutputGH<1>
  18.7%     66.0  | | |_IOHDF5::IOHDF5 [10]
  18.7%     66.0  | | | |_OutputGH
   1.7%      6.1  | | |_IOScalar::CarpetIOScalar [4]
   1.7%      6.1  | | | |_OutputGH
  57.4%    202.6  |_CallEvol
  55.8%    197.1  | |_CCTK_EVOL
  55.8%    197.0  | | |_CallFunction
  16.8%     59.1  | | | |_syncs
   6.1%     21.4  | | | | |_Prolongate
  10.7%     37.6  | | | | |_Sync
  38.5%    136.0  | | | |_thorns
   1.0%      3.7  | | | | |_ML_ADMConstraints
  11.1%     39.1  | | | | |_ML_BSSN_RHS1
   8.7%     30.6  | | | | |_ML_BSSN_RHS2
   1.4%      4.8  | | | | |_ML_BSSN_constraints1
   1.7%      6.1  | | | | |_ML_BSSN_convertToADMBase
   1.5%      5.3  | | | | |_ML_BSSN_convertToADMBaseDtLapseShift
   3.3%     11.7  | | | | |_MoL_Add
   1.1%      4.0  | | | | |_MoL_InitRHS
   1.4%      4.8  | | | | |_MoL_InitialCopy
   2.7%      9.7  | | | | |_Rot180_ApplyBC
   2.4%      8.5  | | | | |_dissipation_add
   1.5%    202.6  |_untimed
   3.8%     13.3  |_CallRestrict
   2.9%     10.1  | |_CCTK_POSTRESTRICT
   2.9%     10.1  | | |_CallFunction
   1.8%      6.4  | | | |_syncs
   1.6%      5.5  | | | | |_Prolongate
   1.0%      3.6  | | | |_thorns
