# 1D ASCII output created by CarpetIOASCII
# created on socket.local by bennie on Dec 05 2011 at 11:24:42+0100
# parameter filename: "ks-mclachlan.par"
# Build ID: build-cosmo-socket.local-bennie-2011.12.01-16.32.36-15768
# Simulation ID: run-ks-mclachlan-socket.local-bennie-2011.12.05-10.24.40-17777
# Run ID: run-ks-mclachlan-socket.local-bennie-2011.12.05-10.24.40-17777
#
# ML_BSSN::ML_GAMMA x (ml_bssn::ml_gamma)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:Xt1 14:Xt2 15:Xt3
0	0	0 0 0	0 36 36	0	-36 0 0	0.00389022046362224 -9.08218014148133e-05 0
0	0	0 0 0	2 36 36	0	-34 0 0	0.00335798405113218 -7.27416263495438e-05 0
0	0	0 0 0	4 36 36	0	-32 0 0	0.00292789639353801 -5.91575213318707e-05 0
0	0	0 0 0	6 36 36	0	-30 0 0	-0.00292789639353801 5.91575213318707e-05 0
0	0	0 0 0	8 36 36	0	-28 0 0	-0.00335798405113218 7.27416263495438e-05 0
0	0	0 0 0	10 36 36	0	-26 0 0	-0.00389022046362224 9.08218014148133e-05 0
0	0	0 0 0	12 36 36	0	-24 0 0	-0.0045596717306709 0.000115421784899578 0
0	0	0 0 0	14 36 36	0	-22 0 0	-0.00541782004939861 0.00014976355976333 0
0	0	0 0 0	16 36 36	0	-20 0 0	-0.00654269796547944 0.000199183106943603 0
0	0	0 0 0	18 36 36	0	-18 0 0	-0.00805710874187299 0.000272941621842242 0
0	0	0 0 0	20 36 36	0	-16 0 0	-0.0101631745270462 0.000388053483900207 0
0	0	0 0 0	22 36 36	0	-14 0 0	-0.0132121121777486 0.000578075842323129 0
0	0	0 0 0	24 36 36	0	-12 0 0	-0.017856175319531 0.0009156396986636 0
0	0	0 0 0	26 36 36	0	-10 0 0	-0.0254101080917045 0.00158059576705144 0
0	0	0 0 0	28 36 36	0	-8 0 0	-0.0387898657411257 0.0031428479310919 0
0	0	0 0 0	30 36 36	0	-6 0 0	-0.0642857870194803 0.00922485433270688 0
